,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,FF,2023-04-11,92.1,-0.46,6.83,"Flexen, Chris",676369,623167,home_run,hit_into_play,,,,,3,Nelson Velazquez hits a grand slam (1) to left center field.   Patrick Wisdom scores.    Eric Hosmer scores.    Yan Gomes scores.,R,R,R,CHC,SEA,X,,fly_ball,3,1,2023,-0.15,1.43,0.48,3.44,621550.0,543333.0,543228.0,1,3,Bot,85.35,41.19,,,663728,,,2.70728830843321,-134.10866991735898,-5.891702865609231,-2.3815895807179657,27.656934208419376,-13.808610168302652,3.46,1.71,396.0,101.1,27.0,92.1,2224,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.35,0.703,1.235,2.0,1.0,0.0,3.0,6.0,39,5,4-Seam Fastball,4,7,4,7,7,8,8,7,Standard,Standard,200,0.318,2.286
1,FF,2023-04-11,91.6,-0.25,6.9,"Flexen, Chris",676369,623167,,ball,,,,,12,Nelson Velazquez hits a grand slam (1) to left center field.   Patrick Wisdom scores.    Eric Hosmer scores.    Yan Gomes scores.,R,R,R,CHC,SEA,B,,,2,1,2023,-0.07,1.46,0.48,3.94,621550.0,543333.0,543228.0,1,3,Bot,,,,,663728,,,2.0186301637112805,-133.35878474878203,-4.822875019135871,-1.2223211386401598,27.47121664996875,-13.882494886532152,3.29,1.65,,,,92.6,2193,6.8,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,53.75,,,,,,,,39,4,4-Seam Fastball,4,7,4,7,7,4,4,7,Standard,Standard,193,0.0,0.443
2,FF,2023-04-11,92.5,-0.34,6.92,"Flexen, Chris",676369,623167,,ball,,,,,14,Nelson Velazquez hits a grand slam (1) to left center field.   Patrick Wisdom scores.    Eric Hosmer scores.    Yan Gomes scores.,R,R,R,CHC,SEA,B,,,1,1,2023,-0.29,1.49,0.94,1.66,621550.0,543333.0,543228.0,1,3,Bot,,,,,663728,,,3.8528350875451527,-134.31936474843894,-10.758642019313076,-4.345150104727663,28.232069667187503,-12.05048698999082,3.43,1.7,,,,92.0,2218,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.49,,,,,,,,39,3,4-Seam Fastball,4,7,4,7,7,4,4,7,Standard,Standard,196,0.0,0.081
3,FC,2023-04-11,88.8,-0.32,6.9,"Flexen, Chris",676369,623167,,swinging_strike,,,,,14,Nelson Velazquez hits a grand slam (1) to left center field.   Patrick Wisdom scores.    Eric Hosmer scores.    Yan Gomes scores.,R,R,R,CHC,SEA,S,,,1,0,2023,0.7,0.44,1.1,2.28,621550.0,543333.0,543228.0,1,3,Bot,,,,,663728,,,2.0218879600754747,-129.33947206311487,-6.24987160234595,7.511202501852277,24.258326019326333,-26.202781100057035,3.46,1.71,,,,89.3,2384,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.18,,,,,,,,39,2,Cutter,4,7,4,7,7,4,4,7,Standard,Standard,159,0.0,-0.177
4,FC,2023-04-11,88.9,-0.37,6.95,"Flexen, Chris",676369,623167,,ball,,,,,12,Nelson Velazquez hits a grand slam (1) to left center field.   Patrick Wisdom scores.    Eric Hosmer scores.    Yan Gomes scores.,R,R,R,CHC,SEA,B,,,0,0,2023,0.67,0.6,1.6,2.53,621550.0,543333.0,543228.0,1,3,Bot,,,,,663728,,,3.4221586945993168,-129.4642933082188,-6.069281043052975,6.94253091059116,24.766167262807148,-24.45827061551081,3.29,1.65,,,,88.9,2361,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.47,,,,,,,,39,1,Cutter,4,7,4,7,7,4,4,7,Standard,Standard,170,0.0,0.053
5,SL,2023-04-11,79.2,-0.62,6.77,"Flexen, Chris",543228,623167,single,hit_into_play,,,,,14,Yan Gomes singles on a soft ground ball to pitcher Chris Flexen.   Patrick Wisdom to 3rd.    Eric Hosmer to 2nd.,R,R,R,CHC,SEA,X,1.0,ground_ball,1,1,2023,1.11,-0.48,1.13,2.08,,621550.0,543333.0,1,3,Bot,117.45,185.95,,,663728,,,1.7519065233528757,-115.30615915705114,-2.4893437402960656,9.42206655625002,23.680459128901443,-36.17180429408116,3.1,1.43,0.0,51.0,-81.0,78.8,2595,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.32,0.114,0.103,0.9,1.0,1.0,0.0,1.0,38,3,Slider,4,7,4,7,7,4,4,7,Standard,Standard,48,0.068,0.932
6,FC,2023-04-11,88.2,-0.32,6.84,"Flexen, Chris",543228,623167,,ball,,,,,14,Yan Gomes singles on a soft ground ball to pitcher Chris Flexen.   Patrick Wisdom to 3rd.    Eric Hosmer to 2nd.,R,R,R,CHC,SEA,B,,,0,1,2023,0.52,0.63,0.94,1.51,,621550.0,543333.0,1,3,Bot,,,,,663728,,,1.9993777979121496,-128.39244443798336,-8.248741790827415,5.405980613492598,24.712063316836467,-23.80295327268877,3.29,1.54,,,,88.7,2391,6.4,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.1,,,,,,,,38,2,Cutter,4,7,4,7,7,4,4,7,Standard,Standard,173,0.0,0.093
7,FF,2023-04-11,91.7,-0.4,6.87,"Flexen, Chris",543228,623167,,called_strike,,,,,8,Yan Gomes singles on a soft ground ball to pitcher Chris Flexen.   Patrick Wisdom to 3rd.    Eric Hosmer to 2nd.,R,R,R,CHC,SEA,S,,,0,0,2023,-0.22,1.66,0.03,1.85,,621550.0,543333.0,1,3,Bot,,,,,663728,,,1.5384606837199155,-133.1546136838117,-10.29961985054162,-2.935650011591508,29.026472717746703,-10.372298723798815,3.25,1.52,,,,90.9,2180,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.51,,,,,,,,38,1,4-Seam Fastball,4,7,4,7,7,4,4,7,Standard,Standard,195,0.0,-0.039
8,CH,2023-04-11,80.5,-0.59,6.63,"Flexen, Chris",543333,623167,single,hit_into_play,,,,,14,Eric Hosmer singles on a ground ball to right fielder Teoscar Hernandez.   Cody Bellinger scores.    Patrick Wisdom to 2nd.,R,L,R,CHC,SEA,X,9.0,ground_ball,0,1,2023,-0.89,0.61,0.49,1.28,,641355.0,621550.0,1,3,Bot,173.78,113.87,,,663728,,,4.0653435496227575,-117.19235552889526,-6.402637734330574,-8.935372213236587,20.428225973269367,-25.565619220930756,3.65,1.74,14.0,94.7,-4.0,80.4,1261,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.46,0.283,0.294,0.9,1.0,1.0,0.0,2.0,37,2,Changeup,3,7,3,7,7,4,4,7,Standard,Standard,217,0.08,1.025
9,FC,2023-04-11,88.2,-0.5,6.84,"Flexen, Chris",543333,623167,,called_strike,,,,,9,Eric Hosmer singles on a ground ball to right fielder Teoscar Hernandez.   Cody Bellinger scores.    Patrick Wisdom to 2nd.,R,L,R,CHC,SEA,S,,,0,0,2023,0.39,1.08,0.49,1.94,,641355.0,621550.0,1,3,Bot,,,,,663728,,,1.615480114718747,-128.33809530432197,-8.182516738469191,4.022786480637236,22.5698129991584,-18.8040025851972,3.63,1.74,,,,89.1,2492,6.5,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,53.96,,,,,,,,37,1,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,174,0.0,-0.039
